iter	Passed	Remaining
395	321135	489813
396	321921	488964
397	322702	488108
398	323491	487263
399	324280	486420
400	325080	485593
401	325877	484762
402	326691	483956
403	327554	483223
404	328540	482670
405	329340	481842
406	330218	481129
407	331062	480365
408	331887	479573
409	332692	478752
410	333479	477906
411	334274	477071
412	335055	476216
413	335842	475370
414	336626	474521
415	337464	473748
416	338247	472898
417	339033	472051
418	339818	471203
419	340605	470360
420	341393	469517
421	342180	468674
422	342980	467847
423	343773	467013
424	344570	466184
425	345359	465343
426	346146	464501
427	346936	463662
428	347788	462906
429	348574	462064
430	349355	461214
431	350135	460363
432	350911	459507
433	351702	458672
434	352489	457830
435	353273	456986
436	354062	456149
437	354839	455296
438	355621	454449
439	356400	453600
440	357189	452763
441	358035	451998
442	358817	451154
443	359604	450315
444	360393	449479
445	361194	448658
446	361978	447817
447	362760	446973
448	363547	446135
449	364324	445286
450	365114	444452
451	365914	443630
452	366707	442800
453	367506	441979
454	368335	441193
455	369134	440371
456	369920	439533
457	370696	438684
458	371473	437837
459	372253	436993
460	373043	436161
461	373828	435323
462	374619	434494
463	375401	433653
464	376188	432818
465	376971	431979
466	377772	431162
467	378611	430387
468	379378	429530
469	380165	428697
470	380933	427842
471	381709	426996
472	382497	426165
473	383327	425380
474	384208	424651
475	384993	423816
476	385776	422979
477	386583	422169
478	387364	421329
479	388160	420507
480	388970	419699
481	389758	418868
482	390537	418028
483	391319	417191
484	392103	416357
485	392911	415547
486	393701	414720
487	394487	413889
488	395272	413055
489	396051	412217
490	396839	411387
491	397624	410555
492	398429	409743
493	399249	408947
494	400031	408113
495	400823	407288
496	401598	406446
497	402375	405607
498	403167	404783
499	403945	403945
500	404746	403130
501	405527	402296
502	406314	401468
503	407103	400641
504	407885	399808
505	408734	399041
506	409510	398202
507	410301	397378
508	411085	396547
509	411860	395708
510	412642	394877
511	413423	394044
512	414217	393223
513	415003	392395
514	415788	391567
515	416582	390747
516	417381	389932
517	418165	389103
518	419015	388335
519	419792	387501
520	420581	386676
521	421358	385841
522	422135	385007
523	422925	384184
524	423702	383349
525	424490	382525
526	425277	381700
527	426056	380868
528	426850	380049
529	427641	379229
530	428428	378405
531	429273	377631
532	430062	376808
533	430847	375982
534	431636	375160
535	432412	374326
536	433202	373506
537	433986	372679
538	434776	371859
539	435554	371027
540	436336	370200
541	437132	369384
542	437920	368562
543	438711	367743
544	439545	366960
545	440333	366137
546	441141	365333
547	441913	364498
548	442679	363658
549	443458	362829
550	444236	362000
551	445010	361167
552	445802	360350
553	446605	359541
554	447395	358722
555	448173	357893
556	448955	357068
557	449786	356282
558	450568	355457
559	451363	354642
560	452139	353813
561	452934	352999
562	453713	352171
563	454490	351344
564	455270	350517
565	456046	349689
566	456844	348877
567	457635	348060
568	458423	347241
569	459229	346436
570	460055	345645
571	460833	344819
572	461617	343997
573	462398	343173
574	463204	342368
575	463984	341544
576	464766	340721
577	465548	339898
578	466339	339082
579	467161	338289
580	468000	337507
581	468851	336735
582	469692	335954
583	470556	335191
584	471387	334403
585	472184	333591
586	472980	332778
587	473762	331956
588	474553	331140
589	475340	330321
590	476120	329497
591	476911	328682
592	477713	327873
593	478495	327052
594	479282	326234
595	480106	325441
596	480930	324648
597	481732	323840
598	482523	323024
599	483310	322207
600	484095	321387
601	484875	320565
602	485672	319754
603	486452	318932
604	487237	318113
605	488027	317298
606	488833	316493
607	489623	315678
608	490468	314898
609	491248	314077
610	492030	313256
611	492813	312437
612	493601	311621
613	494383	310801
614	495171	309985
615	495952	309165
616	496731	308344
617	497514	307524
618	498303	306710
619	499095	305897
620	499890	305086
621	500725	304299
622	501513	303484
623	502311	302674
624	503115	301869
625	503926	301067
626	504745	300271
627	505542	299461
628	506332	298647
629	507125	297835
630	507904	297015
631	508710	296211
632	509499	295396
633	510288	294582
634	511121	293794
635	511911	292981
636	512701	292167
637	513480	291347
638	514258	290527
639	515043	289711
640	515830	288897
641	516613	288080
642	517401	287266
643	518192	286454
644	518982	285641
645	519772	284828
646	520560	284015
647	521403	283231
648	522181	282412
649	523008	281620
650	523838	280828
651	524703	280056
652	525518	279257
653	526485	278538
654	527322	277749
655	528130	276946
656	528919	276133
657	529710	275320
658	530498	274506
659	531605	273857
660	532596	273147
661	533531	272407
662	534310	271587
663	535232	270840
664	536013	270021
665	536795	269203
666	537570	268382
667	538390	267583
668	539241	266799
669	540087	266013
670	540915	265217
671	541789	264444
672	542621	263651
673	543396	262829
674	544166	262006
675	544934	261181
676	545713	260362
677	546494	259544
678	547283	258730
679	548060	257910
680	548858	257101
681	549635	256281
682	550414	255463
683	551193	254644
684	552013	253845
685	552847	253052
686	553745	252288
687	554628	251517
688	555405	250698
689	556177	249876
690	556982	249070
691	557751	248247
692	558544	247435
693	559314	246614
694	560091	245795
695	560866	244976
696	561651	244161
697	562462	243357
698	563238	242538
699	564014	241720
700	564794	240903
701	565564	240082
702	566337	239263
703	567118	238447
704	567887	237626
705	568675	236813
706	569444	235993
707	570231	235180
708	571012	234364
709	571797	233551
710	572605	232746
711	573382	231930
712	574158	231112
713	574927	230293
714	575713	229480
715	576482	228660
716	577311	227865
717	578151	227073
718	578987	226280
719	579838	225492
720	580673	224698
721	581503	223903
722	582366	223119
723	583207	222327
724	584023	221526
725	584857	220731
726	585700	219939
727	586513	219137
728	587589	218431
729	588570	217690
730	589412	216897
731	590237	216097
732	591097	215310
733	591973	214529
734	592834	213742
735	593664	212944
736	594471	212138
737	595312	211344
738	596135	210543
739	596955	209741
740	597968	209006
741	598902	208243
742	599733	207444
743	600545	206639
744	601389	205844
745	602217	205044
746	603108	204265
747	603960	203473
748	604812	202680
749	605649	201883
750	606481	201083
751	607310	200283
752	608150	199486
753	609001	198692
754	609850	197898
755	610698	197103
756	611537	196306
757	612399	195515
758	613266	194726
759	614093	193924
760	614934	193126
761	615831	192346
762	616696	191555
763	617560	190764
764	618477	189989
765	619406	189218
766	620294	188433
767	621152	187639
768	622003	186843
769	622867	186051
770	623764	185268
771	624595	184465
772	625391	183653
773	626180	182838
774	626992	182030
775	627839	181232
776	628618	180414
777	629398	179597
778	630247	178799
779	631109	178005
780	631954	177206
781	632759	176395
782	633614	175599
783	634420	174789
784	635233	173981
785	636070	173179
786	636871	172367
787	637674	171557
788	638460	170741
789	639249	169926
790	640023	169108
791	640783	168286
792	641565	167470
793	642330	166649
794	643104	165832
795	643921	165025
796	644694	164206
797	645481	163392
798	646242	162571
799	647025	161756
800	647980	160983
801	648813	160180
802	649598	159366
803	650360	158545
804	651146	157731
805	651915	156912
806	652679	156093
807	653484	155283
808	654303	154477
809	655073	153659
810	655826	152837
811	656590	152018
812	657361	151201
813	658128	150383
814	658916	149569
815	659701	148756
816	660484	147941
817	661263	147127
818	662028	146309
819	662796	145491
820	663570	144676
821	664389	143870
822	665159	143053
823	665933	142238
824	666712	141423
825	667498	140611
826	668272	139795
827	669055	138982
828	669825	138166
829	670585	137348
830	671348	136531
831	672109	135714
832	672880	134899
833	673676	134089
834	674492	133282
835	675267	132468
836	676030	131652
837	676805	130838
838	677592	130026
839	678374	129214
840	679141	128398
841	679905	127583
842	680685	126770
843	681453	125955
844	682216	125140
845	682989	124326
846	683760	123512
847	684582	122708
848	685351	121894
849	686137	121083
850	686909	120269
851	687685	119457
852	688464	118645
853	689243	117833
854	690013	117019
855	690781	116206
856	691562	115394
857	692356	114585
858	693146	113776
859	693915	112963
860	694744	112159
861	695508	111345
862	696314	110538
863	697477	109788
864	698388	108997
865	699172	108186
866	699943	107373
867	700714	106560
868	701475	105746
869	702287	104939
870	703083	104130
871	703908	103326
872	704737	102521
873	705507	101709
874	706269	100895
875	707056	100085
876	707831	99274
877	708593	98460
878	709369	97649
879	710132	96836
880	710901	96024
881	711664	95211
882	712430	94399
883	713199	93587
884	713965	92775
885	714752	91965
886	715559	91159
887	716333	90348
888	717129	89540
889	717916	88731
890	718679	87919
891	719446	87107
892	720209	86296
893	721000	85487
894	721800	84680
895	722580	83870
896	723349	83060
897	724134	82251
898	724907	81441
899	725727	80636
900	726499	79826
901	727274	79016
902	728049	78206
903	728832	77398
904	729614	76589
905	730378	75778
906	731145	74968
907	731915	74158
908	732679	73348
909	733455	72539
910	734233	71730
911	734995	70920
912	735816	70116
913	736573	69305
914	737337	68495
915	738122	67688
916	738888	66878
917	739670	66070
918	740433	65261
919	741259	64457
920	742023	63648
921	742793	62839
922	743572	62031
923	744336	61222
924	745104	60413
925	745926	59609
926	746699	58801
927	747495	57995
928	748265	57187
929	749049	56380
930	749826	55572
931	750597	54764
932	751377	53957
933	752138	53148
934	752909	52341
935	753690	51534
936	754456	50726
937	755240	49919
938	756077	49116
939	756857	48310
940	757643	47503
941	758413	46696
942	759196	45889
943	759970	45082
944	760738	44275
945	761510	43468
946	762275	42661
947	763045	41854
948	763831	41048
949	764597	40241
950	765364	39435
951	766185	38631
952	766965	37825
953	767753	37019
954	768520	36213
955	769281	35406
956	770071	34600
957	770895	33797
958	771701	32992
959	772496	32187
960	773264	31381
961	774042	30575
962	774814	29769
963	775580	28963
964	776397	28159
965	777171	27353
966	777959	26548
967	778734	25743
968	779498	24937
969	780280	24132
970	781042	23326
971	781808	22521
972	782561	21715
973	783325	20910
974	784102	20105
975	784881	19300
976	785692	18496
977	786532	17692
978	787309	16888
979	788094	16083
980	788871	15278
981	789642	14474
982	790419	13669
983	791191	12864
984	791963	12060
985	792725	11255
986	793497	10451
987	794288	9647
988	795079	8843
989	795945	8039
990	796768	7236
991	797546	6431
992	798337	5627
993	799111	4823
994	799872	4019
995	800649	3215
996	801410	2411
997	802180	1607
998	802943	803
999	803710	0
